us-east-2,2.750,8.193
us-east-2,3.247,8.093
us-east-2,2.761,8.302
us-east-2,2.761,8.238
us-east-2,2.750,8.229
us-east-2,2.750,8.204
us-east-2,2.761,8.256
us-east-2,2.750,8.296
us-east-2,2.750,8.261
us-east-2,2.750,8.289
us-east-2,2.750,8.261
us-east-2,2.748,8.237
us-east-2,2.750,8.280
us-east-2,2.750,8.174
us-east-2,2.750,8.257
us-east-2,2.761,8.246
us-east-2,2.739,8.167
us-east-2,2.761,8.237
us-east-2,2.750,8.231
us-east-2,2.739,8.239
us-east-2,2.761,8.298
us-east-2,2.750,8.285
us-east-2,3.010,8.156
us-east-2,2.750,8.170
us-east-2,2.750,8.313
us-east-2,2.773,8.261
us-east-2,2.937,8.054
us-east-2,2.750,8.258
us-east-2,2.750,8.248
us-east-2,2.739,8.285
us-east-2,2.773,8.309
us-east-2,2.761,8.275
us-east-2,2.500,8.133
us-east-2,2.750,8.312
us-east-2,2.761,8.196
us-east-2,2.739,8.261
us-east-2,2.761,8.303
us-east-2,2.737,8.200
us-east-2,2.750,8.228
us-east-2,2.750,8.298
us-east-2,2.750,8.259
us-east-2,2.750,8.275
us-east-2,2.750,8.265
us-east-2,2.748,8.204
us-east-2,2.750,8.261
us-east-2,2.761,8.192
us-east-2,2.748,8.182
us-east-2,2.759,8.177
us-east-2,3.247,8.128
us-east-2,2.750,8.284
us-east-2,2.748,8.161
us-east-2,2.750,8.259
us-east-2,3.499,8.089
us-east-2,2.750,8.215
us-east-2,2.750,8.222
us-east-2,2.761,8.294
us-east-2,2.761,8.317
us-east-2,2.750,8.181
us-east-2,2.761,8.267
us-east-2,2.749,8.222
us-east-2,2.761,8.305
us-east-2,2.750,8.298
us-east-2,2.750,8.295
us-east-2,2.925,8.183
us-east-2,2.750,8.273
us-east-2,2.761,8.325
us-east-2,2.694,8.226
us-east-2,3.010,8.217
us-east-2,2.985,8.316
us-east-2,2.759,8.327
us-east-2,3.010,8.316
us-east-2,2.750,8.301
us-east-2,2.750,8.201
us-east-2,2.761,8.304
us-east-2,2.761,8.270
us-east-2,3.010,8.308
us-east-2,2.773,8.309
us-east-2,2.761,8.306
us-east-2,2.761,8.267
us-east-2,2.750,8.248
us-east-2,2.748,8.274
us-east-2,2.750,8.262
us-east-2,2.761,8.296
us-east-2,2.737,8.241
us-east-2,2.773,8.327
us-east-2,2.761,8.276
us-east-2,2.759,8.285
us-east-2,2.761,8.285
us-east-2,2.759,8.296
us-east-2,2.998,8.282
us-east-2,2.998,8.277
us-east-2,2.761,8.311
us-east-2,3.010,8.322
us-east-2,2.750,8.216
us-east-2,2.739,8.289
us-east-2,2.694,8.144
us-east-2,2.750,8.289
us-east-2,2.748,8.281
us-east-2,2.739,8.297
us-east-2,2.761,8.322
us-east-2,2.761,8.283
us-east-2,2.773,8.331
us-east-2,2.759,8.275
us-east-2,2.985,8.261
us-east-2,2.748,8.279
us-east-2,2.750,8.288
us-east-2,2.761,8.297
us-east-2,2.937,8.198
us-east-2,2.750,8.290
us-east-2,2.773,8.325
us-east-2,2.750,8.297
us-east-2,2.773,8.290
