500,569,893,1264,36730
1500,533,769,1000,106953
2500,1101,1697,2410,174469
3500,1265,1981,2858,236319
4500,1760,2640,3684,296519
5500,1980,2962,4090,352357
6500,17279,19077,20834,383821
7500,42594,48385,52704,381007
8500,54082,59984,67520,399010
