500,510,729,948,36664
1500,515,733,955,107266
2500,562,792,1027,174307
3500,626,853,1080,239261
4500,756,1085,1516,299983
5500,1021,1793,2783,355994
6500,8191,8893,12473,397610
7500,32010,34870,38168,410231
8500,51458,52520,55071,426788
