500,565,893,1266,36743
1500,536,768,999,107456
2500,1099,1692,2409,174912
3500,1262,1981,2855,237364
4500,1750,2634,3676,297880
5500,1940,2934,4085,354224
6500,17286,19138,20961,385366
7500,43716,49596,54055,381008
8500,54902,60924,68401,399010
