ap-east-1,1932,31595,78052,1861445
ap-northeast-1,1377,2188,8529,1913400
ap-northeast-2,2776,61343,166622,1317298
ap-south-1,5259,53174,78224,1822889
ap-southeast-1,1894,27462,88806,1840936
ap-southeast-2,28912,68006,192787,622988
ca-central-1,1365,2109,3046,1911507
eu-central-1,1369,2104,3041,1907182
eu-north-1,1382,2171,8024,1914361
eu-west-1,1370,2106,3017,1908362
eu-west-3,1378,2131,3186,1910081
sa-east-1,1440,253765,263361,115182
us-east-1,1374,2113,3025,1910038
us-east-2,1380,2120,3046,1908418
us-west-1,1416,2275,21667,1917022
us-west-2,1403,2193,11252,1913854
