#Block size, High-priority Traffic, Low-priority Traffic, Confirmation
36199 5.018 20.710 7.126
97675 5.772 51.435 18.443
#221159 6.016 65.429 30.871
320990 6.726 109.828 43.188
549063 7.338 144.891 57.582
1121471 8.252 188.967 77.160
1917255 8.733 199.299 87.232
