#Block size, High-priority Traffic, Low-priority Traffic, Confirmation
23018 0.670 2.974 1.085
55107 0.933 6.375 2.625
106662 1.327 10.549 5.015
110111 3.775 29.643 14.472
173858 5.888 54.080 25.931
455959 6.519 69.879 33.892
885279 16.970 189.952 93.774
